Filename,SISDR_MVDR,SISDR_Model,SISDR_Improvement,STOI_MVDR,STOI_Model,STOI_Improvement,ViSQOL_MOS_MVDR,ViSQOL_MOS_Model,ViSQOL_MOS_Improvement,ViSQOL_NSIM_MVDR,ViSQOL_NSIM_Model,ViSQOL_NSIM_Improvement
1003_part2_A_17_part62.wav,0.362096430357746,7.36871058935278,7.00661415899504,0.48133038707296,0.866209339904787,0.384878952831827,2.0441962670866,2.58087454571829,0.53667827863169,0.420890560276615,0.526423303333014,0.105532743056399
1003_part2_A_2482_part2.wav,2.64815258123624,7.95369576763467,5.30554318639843,0.521289465964023,0.855453115970016,0.334163650005993,2.00427320405379,2.53504544830761,0.53077224425382,0.413033193254349,0.517418149600493,0.104384956346144
1004_part2_C_100_part11.wav,3.73997802043437,9.61012527343998,5.87014725300562,0.748669286824738,0.914511642967408,0.16584235614267,2.61005351435233,3.14121176439336,0.531158250041029,0.53215615075049,0.636425281697829,0.104269130947339
1004_part3_C_237_part24.wav,-0.778611221778264,7.84742886414474,8.62604008592301,0.574242282438122,0.811548042190346,0.237305759752224,2.28929856068255,3.07193598960835,0.782637428925796,0.469108945400062,0.622835595569037,0.153726650168975
1019_part2_A_8346_part3.wav,1.38809954820333,7.29674638492639,5.90864683672306,0.643929060715788,0.830336908939007,0.186407848223219,1.84515045525242,2.71249107483951,0.867340619587089,0.381706341929712,0.552278238615879,0.170571896686167
1021_part3_B_552_part116.wav,-1.27782008993902,6.95510274777255,8.23292283771157,0.4834415370318,0.802671512225551,0.319229975193752,1.98269982484817,2.89913926275839,0.916439437910217,0.408786881089307,0.588925993367802,0.180139112278494
1024_part3_A_550_part2.wav,1.68912846779516,7.36774558765415,5.67861711985899,0.612365062588264,0.807120071466432,0.194755008878168,2.19093622856611,2.93398203847694,0.743045809910833,0.4497626697401,0.595764962401884,0.146002292661784
1026_part5_A_2461_part5.wav,3.24123280946975,8.33052913684401,5.08929632737427,0.366895079742746,0.785282797476001,0.418387717733255,1,1.69226968051111,0.692269680511107,0.199908502224123,0.351594091833698,0.151685589609574
1028_part3_C_745_part93.wav,2.42836468804598,6.64363221600486,4.21526752795888,0.584221256837664,0.812239278711668,0.228018021874004,1.83658477395569,2.68266291942675,0.84607814547106,0.380019567511203,0.546419657860196,0.166400090348993
1030_part2_B_629_part119.wav,-0.518079941080335,8.23539741806974,8.75347735915007,0.630453410509835,0.869404418955189,0.238951008445354,2.19016037160814,3.03265598120689,0.842495609598748,0.449610048299315,0.61512885102303,0.165518802723715
1035_part2_B_356_part11.wav,0.808272348530937,9.76635143199558,8.95807908346465,0.496900041385824,0.846816844929376,0.349916803543551,1.44694173150246,2.16698142570412,0.720039694201661,0.30324367130828,0.445050273844157,0.141806602535876
1039_part2_B_346_part27.wav,0.0712401071564669,8.85554002758467,8.7842999204282,0.499253784301357,0.837926327031711,0.338672542730355,1.44475091590304,2.73446310861462,1.28971219271158,0.302811732212986,0.556593451172117,0.253781718959131
1039_part4_A_13442_part3.wav,1.23011628497229,8.74386884340216,7.51375255842987,0.386106566916965,0.815965544856415,0.42985897793945,1.29533298087135,2.12576649392116,0.830433513049805,0.273345840205645,0.436941658261255,0.16359581805561
1042_part2_A_78_part98.wav,1.60505975539248,9.14693907405321,7.54187931866073,0.425556902822736,0.696280059941756,0.27072315711902,1.39941806652472,2.15481689319958,0.75539882667486,0.293873305095241,0.442657132226971,0.14878382713173
1046_part2_C_215_part1.wav,5.67153823366261,12.2380043432046,6.56646610954194,0.54053389701095,0.767297305425168,0.226763408414218,1.57864714873237,2.25180177371203,0.673154624979659,0.329205297353377,0.461734616598462,0.132529319245085
1047_part4_A_1091_part5.wav,2.39468156213985,9.56100467688841,7.16632311474856,0.36097819000385,0.823090762598596,0.462112572594746,1.65441545786526,2.53991192299062,0.885496465125365,0.344135951438315,0.518374443234649,0.174238491796334
1052_part2_B_77_part69.wav,0.973797132827306,10.1313745035957,9.15757737076836,0.517355257530958,0.917766420645101,0.400411163114143,1.4088869811264,2.33855815831217,0.929671177185768,0.295740424013883,0.478795339569922,0.183054915556039
1053_part3_B_263_part59.wav,0.743597631516552,10.3817978905797,9.63820025906316,0.647673479093469,0.865398943524353,0.217725464430884,1.77071562089162,2.78455143362629,1.01383581273467,0.367046989495689,0.566429507963018,0.19938251846733
1057_part2_B_46_part5.wav,3.74764090511316,10.4973995352088,6.74975863009568,0.431667533661145,0.767210171533262,0.335542637872117,1.74114519739717,2.52695939873633,0.785814201339162,0.361222407825483,0.515829157551099,0.154606749725616
1057_part3_C_489_part17.wav,1.4582116997886,7.68176533145559,6.223553631667,0.438911881283857,0.749555898813833,0.310644017529976,1.4604310370025,2.3364895621656,0.876058525163098,0.305903146368132,0.478388600494663,0.172485454126531
